project_id,project_name,sector,implementing_agency,state,district,latitude,longitude,current_stage,target_duration_months,elapsed_months,total_land_required_ha,private_land_ha,government_land_ha,forest_land_ha,parcels_count,owners_count,budget_inr_cr,compensation_disbursed_pct,active_court_disputes,cadastral_digitized_pct,aadhaar_seeded_pct,sia_objection_rate_pct,rr_packages_pending_pct,forest_clearance_status,environment_clearance_status,utility_shifting_pending,collector_meetings_last_quarter,primary_bottleneck,delay_probability,risk_tier,is_delayed,delay_months_predicted
LW-IN-MA-PUN-1001,Maharashtra Pune Greenfield Ring Road - Sec 1,Expressway / Highway,MSRDC,Maharashtra,Pune,18.5204,73.8567,Section 19 Declaration,36,24,640.50,480.20,120.30,40.00,1420,3120,845.20,32.4,28,48.5,62.1,28.4,42.0,Stage 1 Pending,Terms of Reference Issued,16,1,Litigation in District / High Court,0.8850,High,1,18
LW-IN-GU-AHM-1002,Gujarat Ahmedabad Bullet Train Feeder Line - Sec 2,High Speed Rail / Rail,NHSRCL,Gujarat,Ahmedabad,23.0225,72.5714,Section 38 Possession Handover,42,39,320.00,210.00,95.00,15.00,780,1450,620.00,92.5,2,96.5,98.2,4.2,5.0,Approved,Approved,2,5,Standard Procedural Progress,0.1250,Low,0,1
LW-IN-UP-VAR-1003,Uttar Pradesh Varanasi Economic Corridor Phase-II - Sec 3,Expressway / Highway,NHAI,Uttar Pradesh,Varanasi,25.3176,82.9739,Section 23 Award Inquiry,30,22,510.40,390.00,85.00,35.40,1150,2680,580.40,41.2,19,55.2,71.0,22.8,38.5,Stage 2 Pending,In-Review,11,1,Slow Direct Benefit Transfer (PFMS),0.7650,High,1,14
LW-IN-KA-BEN-1004,Karnataka Bengaluru Rural Metro Line-4 Extension - Sec 4,Metro Rail Transit,BMRCL,Karnataka,Bengaluru Rural,13.0827,77.5877,Section 19 Declaration,28,18,145.20,110.50,30.20,4.50,540,1120,410.80,68.4,6,82.4,89.5,11.2,14.0,Not Applicable,Approved,5,3,Pending High-Tension/Pipeline Utility Shifting,0.3420,Low,0,0
LW-IN-TN-KAN-1005,Tamil Nadu Kanchipuram Integrated Logistics Zone - Sec 5,Industrial Corridors / Logistics,TIDCO,Tamil Nadu,Kanchipuram,12.8342,79.7036,Section 11 Notification,24,14,480.00,360.00,120.00,0.00,920,1850,390.00,18.5,14,64.0,78.2,19.5,31.0,Not Applicable,In-Review,8,2,Disputed Cadastral Map Boundaries,0.5820,Medium,1,8
LW-IN-MP-BHO-1006,Madhya Pradesh Bhopal Multi-Purpose Dam Reservoir - Sec 6,Irrigation & Water Resources,State Water Resources Dept,Madhya Pradesh,Bhopal,23.2599,77.4126,Section 19 Declaration,40,30,1250.00,820.00,180.00,250.00,2850,6400,940.00,38.0,42,44.0,58.0,34.0,55.0,Stage 1 Pending,Terms of Reference Issued,21,1,R&R Resettlement Package Disputes,0.9240,High,1,22
LW-IN-RJ-JAI-1007,Rajasthan Jaipur Ultra Mega Solar Power Park - Sec 7,Renewable Energy / Solar Park,SECI,Rajasthan,Jaipur,26.9124,75.7873,Section 38 Possession Handover,20,16,1400.00,350.00,1050.00,0.00,680,1020,450.00,94.0,1,92.0,95.0,3.5,4.0,Not Applicable,Approved,1,4,Standard Procedural Progress,0.0980,Low,0,0
LW-IN-OD-KHO-1008,Odisha Khordha Deepwater Port Express Link - Sec 8,Port & Airport Connectivity,JNPA,Odisha,Khordha,20.1900,85.6200,Section 11 Notification,32,19,380.00,280.00,70.00,30.00,890,2100,340.00,12.0,11,58.0,66.0,18.0,25.0,Stage 2 Pending,In-Review,7,2,Forest & Wildlife Stage-II Clearance,0.6450,Medium,1,9
LW-IN-AP-VIS-1009,Andhra Pradesh Visakhapatnam Coastal Economic Zone Access - Sec 9,Industrial Corridors / Logistics,NICDC,Andhra Pradesh,Visakhapatnam,17.6868,83.2185,Section 23 Award Inquiry,34,26,420.00,310.00,90.00,20.00,1050,2300,510.00,52.0,15,71.0,82.0,14.5,22.0,Stage 2 Approved,Approved,9,3,Slow Direct Benefit Transfer (PFMS),0.4950,Medium,0,4
LW-IN-HA-GUR-1010,Haryana Gurugram Greenfield Ring Road - Sec 10,Expressway / Highway,NHAI,Haryana,Gurugram,28.4595,77.0266,Section 19 Declaration,30,23,290.00,250.00,40.00,0.00,740,1950,980.00,45.0,31,69.0,84.0,26.0,30.0,Not Applicable,Approved,14,2,Litigation in District / High Court,0.8340,High,1,16
